stratum,year,popEst,sePopEst,VCF,seVCF
32,1987,30777,20746,2.65,1.7
33,1987,7352,5224,2.65,1.7
34,1987,17845,6785,1.39,0.48
35,1987,7490,4924,1.39,0.48
36,1987,3139,2954,1.39,0.48
37,1987,7909,3544,1.39,0.48
38,1987,291,329,1.39,0.48
39,1987,11104,4963,1.39,0.48
40,1987,14024,5525,1.39,0.48
41,1987,528,383,2.02,0.72
42,1987,452,459,2.02,0.72
43,1987,0,0,2.02,0.72
44,1987,0,0,2.02,0.72
45,1987,21528,7215,1.29,0.41
46,1987,7165,2898,1.29,0.41
47,1987,0,0,1.29,0.41
48,1987,4949,2017,1.29,0.41
49,1987,719,648,1.29,0.41
50,1987,0,0,2.59,0.46
75,1987,0,0,2.59,0.46
76,1987,0,0,2.59,0.46
77,1987,2676.97,2564.59,2.59,0.46
1,1988,268,262,2.43,0.46
2,1988,0,0,2.43,0.46
3,1988,8570,4532,2.43,0.46
4,1988,30217,17098,2.43,0.46
5,1988,4888,1944,2.43,0.46
6,1988,3242,1407,2.43,0.46
7,1988,0,0,2.43,0.46
8,1988,0,0,2.43,0.46
9,1988,7467,5722,2.43,0.46
10,1988,5352,1987,2.43,0.46
11,1988,1085,682,2.43,0.46
12,1988,16170,11732,2.59,0.46
13,1988,23452,8587,2.59,0.46
14,1988,2253,2266,2.59,0.46
15,1988,9689,2934,2.59,0.46
16,1988,3172,2282,2.59,0.46
17,1988,9640,5951,2.59,0.46
18,1988,9011,5803,2.59,0.46
20,1988,2942,1874,2.59,0.46
21,1988,1725,1229,2.59,0.46
22,1988,9155,5324,2.59,0.46
23,1988,6461,5152,2.59,0.46
24,1988,13908,14296,2.59,0.46
25,1988,18574,4685,2.59,0.46
26,1988,32057,6685,2.62,0.36
27,1988,6390,6586,2.62,0.36
28,1988,5995,1901,2.62,0.36
29,1988,10327,5285,2.62,0.36
30,1988,35965,14557,2.01,0.35
31,1988,42408,12921,2.01,0.35
32,1988,17344,5750,2.01,0.35
33,1988,507,491,2.01,0.35
34,1988,20546,6500,1.96,0.26
35,1988,2247,1471,1.96,0.26
36,1988,1104,1031,1.96,0.26
37,1988,10380,3693,1.96,0.26
38,1988,0,0,1.96,0.26
39,1988,8757,2165,1.96,0.26
40,1988,17223,3263,1.96,0.26
41,1988,792,647,2.02,0.72
42,1988,1357,804,2.02,0.72
43,1988,457,467,2.02,0.72
44,1988,3067,2236,2.02,0.72
45,1988,14372,5402,2.39,0.4
46,1988,4419,1924,2.39,0.4
47,1988,0,0,2.39,0.4
48,1988,4112,2189,2.39,0.4
49,1988,443,489,2.39,0.4
50,1988,0,0,2.59,0.46
75,1988,6199.05,4870.89,2.59,0.46
76,1988,0,0,2.59,0.46
77,1988,1338.48,1449.94,2.59,0.46
1,1989,535,525,2.43,0.46
2,1989,0,0,2.43,0.46
3,1989,18341,9735,2.43,0.46
4,1989,59776,28148,2.43,0.46
5,1989,13724,6998,2.43,0.46
6,1989,1247,589,2.43,0.46
7,1989,925,637,2.43,0.46
8,1989,0,0,2.43,0.46
9,1989,8961,3467,2.43,0.46
10,1989,4014,3768,2.43,0.46
11,1989,8949,4184,2.43,0.46
12,1989,15177,7885,2.59,0.46
13,1989,42285,15737,2.59,0.46
14,1989,3380,2520,2.59,0.46
15,1989,0,0,2.59,0.46
16,1989,0,0,2.59,0.46
17,1989,24702,20520,2.59,0.46
18,1989,0,0,2.59,0.46
20,1989,9360,4630,2.59,0.46
21,1989,3895,2896,2.59,0.46
22,1989,8208,4806,2.59,0.46
23,1989,0,0,2.59,0.46
24,1989,2454,2523,2.59,0.46
25,1989,19933,7193,2.59,0.46
26,1989,28390,5935,2.66,0.4
27,1989,3470,1159,2.66,0.4
28,1989,3560,2257,2.66,0.4
29,1989,1237,814,2.66,0.4
30,1989,38425,12191,1.85,0.37
31,1989,21688,6882,1.85,0.37
32,1989,7369,1919,1.85,0.37
33,1989,1867,1078,1.85,0.37
34,1989,4504,795,1.67,0.18
35,1989,7662,3629,1.67,0.18
36,1989,627,226,1.67,0.18
37,1989,8428,2761,1.67,0.18
38,1989,0,0,1.67,0.18
39,1989,11423,4349,1.67,0.18
40,1989,13002,4240,1.67,0.18
41,1989,2402,1132,2.04,0.72
42,1989,2743,1954,2.04,0.72
43,1989,1386,1379,2.04,0.72
