"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"1014","The College of Saint Scholastica","55811-4199",27,4,2,19500,23125,789,15500,1151,51500,47500,13500,32000,68400,84500,0.8117,0.3361,0.6347
"1015","University of St Thomas","55105-1078",27,4,2,20500,23650,1603,12500,990,59600,54300,19100,36800,74100,99200,0.8448,0.2161,0.7434
"1016","College of Visual Arts","55102-2199",27,4,2,21250,27000,57,11031.5,94,34400,30400,8300,16700,45200,64100,NA,0.5072,0.4474
"1017","St Catherine University","55105",27,4,2,22000,27000,1250,14000,1207,48500,45300,12300,29300,66300,82900,0.5571,0.4321,0.6286
"1018","Rasmussen College-Minnesota","56301-3713",27,4,3,9554,23108,6179,6334,16958,33900,31300,8300,18900,45100,58200,0.7081,0.6623,0.391
"1019","Southwest Minnesota State University","56258-5468",27,4,1,15000,21591,589,10946.5,940,38100,35600,12600,24300,46800,62800,0.8019,0.1712,0.3949
"1020","United Theological Seminary of the Twin Cities","55112-2598",27,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021","Dunwoody College of Technology","55403-1192",27,4,2,15034.5,18034.5,538,12000,698,47900,46400,13900,31100,62600,78600,0.5078,0.6388,0.381
"1022","Winona State University","55987-5838",27,4,1,16585,22225,2143,9020,1863,45400,41900,17000,29600,57700,74700,0.6894,0.2653,0.5426
"1023","William Mitchell College of Law","55105-3076",27,4,2,NA,NA,NA,NA,0,80500,68200,31500,48800,97800,148300,NA,NA,NA
"1024","Alcorn State University","39096-7500",28,5,1,15912,24484.5,290,15000,2336,34100,30600,8000,17200,44000,65000,0.3643,0.7916,0.3327
"1025","Belhaven University","39202",28,5,2,18852,29662.5,752,11000,1359,41900,37900,9700,23100,53500,72900,0.4801,0.6437,0.4826
"1026","Blue Mountain College","38610-9509",28,5,2,12860,18425,144,8750,203,32200,31300,10200,21100,38100,49800,0.5175,0.5661,0.5
"1027","Delta State University","38733",28,5,1,11250,19775,525,9500,1530,37400,33800,8400,20500,49000,66300,0.5806,0.4681,0.3232
"1028","Jackson State University","39217",28,5,1,25000,30979,1523,21500,3464,33000,29500,9200,17700,43000,63100,0.3134,0.7436,0.4005
"1029","Millsaps College","39210-0001",28,5,2,19025,23252,59,18479,334,51500,45200,13800,29900,62000,89800,0.6054,0.2259,0.655
"1030","University of Mississippi","38677-1848",28,5,1,15000,19125,2884,12000,3604,52700,40600,13200,27500,62100,96700,0.79,0.3069,0.6039
"1031","University of Mississippi Medical Center","39216-4505",28,5,1,15000,19125,2884,12000,3604,52700,40600,13200,27500,62100,96700,NA,0.2701,NA
"1032","Mississippi University for Women","39701",28,5,1,15400,16881.5,708,14452,998,38900,34800,9800,21100,50100,73400,0.4434,0.556,0.395
"1033","Mississippi Valley State University","38941-1400",28,5,1,22800,31221.5,468,18816,1415,25900,22400,5300,12900,33600,46600,0.1613,0.8214,0.2412
"1034","Mississippi College","39058",28,5,2,17413,23647,810,11000,1068,43400,38200,11700,26500,55300,77200,0.4449,0.3814,0.5132
"1035","Mississippi State University","39762",28,5,1,15257.5,21250,2770,12028.5,4062,46300,39600,14400,26800,59900,82500,0.6279,0.3497,0.6017
"1036","Rust College","38635",28,5,2,10000,21130,158,7000,537,25200,22900,6200,13400,33700,45200,0.4562,0.8479,0.2835
"1037","Southeastern Baptist College","39440-9989",28,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7164,0.5
"1038","University of Southern Mississippi","39406-0001",28,5,1,17173.5,23438,3059,12500,5142,41100,36200,10400,23100,53200,74400,0.6318,0.4899,0.4691
"1039","Tougaloo College","39174",28,5,2,22000,NA,0,22000,601,33800,29500,8000,19100,42600,61500,0.3496,0.89,0.4831
"1040","Wesley Biblical Seminary","39286",28,5,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","William Carey University","39401-5499",28,5,2,17457,24375,717,13958,1373,38900,34100,8200,19800,51900,72500,0.8282,0.6371,0.5096
"1042","Aquinas Institute of Theology","63108-3323",29,4,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043","Assemblies of God Theological Seminary","65802-2131",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044","Avila University","64145-1698",29,4,2,16875,24926.5,352,11476,567,45100,41600,13200,27600,56800,75600,0.5291,0.4075,0.4156
"1045","ITT Technical Institute-Earth City","63045",29,4,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.4664,0.6682,0.2
"1046","Baptist Bible College and Graduate School","65803-3498",29,4,2,12125,23425,66,9500,230,31900,29500,4400,16400,41200,62600,NA,0.5736,0.2663
"1047","Cox College","65802",29,4,2,16964,20000,247,11000,293,44400,43800,16700,25500,57000,69900,0.8864,0.4925,0.9706
"1048","Calvary Bible College and Theological Seminary","64147-1341",29,4,2,15000,18125,51,12500,89,34200,30600,NA,NA,NA,NA,0.8269,0.8121,0.4857
"1049","Central Christian College of the Bible","65270-1997",29,4,2,11250,17875,92,7500,85,30300,28100,NA,NA,NA,NA,0.5546,0.6095,0.3851
"1050","Central Bible College","65803-1033",29,4,2,13480,23335,195,7840,296,32500,28700,5900,15500,43000,64100,NA,0.5427,0.5403
"1051","Central Methodist University-College of Liberal Arts & Sciences","65248-1198",29,4,2,12500,15750,679,8625,849,35400,33400,11200,22600,43700,58200,0.6305,0.4634,0.426
"1052","University of Central Missouri","64093",29,4,1,15398,21587,2297,10500,2965,40300,36600,11500,24900,52100,72300,0.7989,0.366,0.4973
"1053","Cleveland Chiropractic College","66210",20,4,2,11000,10500,109,12044,91,45000,37800,8700,18200,60700,84500,1,0.5088,0
"1054","Columbia College","65216",29,4,2,13261,22125,2715,11372,10977,42800,37600,9900,23200,55800,79300,NA,0.4819,0.3974
"1055","Conception Seminary College","64433-0502",29,4,2,11000,NA,17,NA,16,NA,NA,NA,NA,NA,NA,0.9333,0.3761,0.1667
"1056","Concordia Seminary","63105-3196",29,4,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057","Covenant Theological Seminary","63141-8697",29,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058","Culver-Stockton College","63435-1299",29,4,2,14364,24625,231,9500,343,39800,36100,13800,25500,50600,68300,0.6568,0.5032,0.4129
